ID,Arrival Time,Screening Start,Exit Time,Wait Time,PreCheck,Secondary Screening
2,10.455036325623025,11,24.153730370094166,0.5449636743769748,True,False
1,2.319373902028049,3,34.03866045481575,0.6806260979719512,False,True
3,13.401075975658111,25,43.44358210285583,11.598924024341889,False,False
4,13.470668904262986,35,49.84291711582949,21.529331095737014,False,False
6,22.83554429737665,50,55.0614680291638,27.16445570262335,True,False
5,13.552025748363251,44,61.35609943365742,30.44797425163675,False,False
7,23.23258636068601,56,67.33415679411097,32.767413639313986,False,False
8,26.153842193391295,62,82.88914698925538,35.8461578066087,False,False
9,29.707436286925798,68,88.52643445893888,38.2925637130742,False,False
10,33.087594708337924,83,93.74946505980347,49.912405291662076,False,False
11,40.35135636326036,89,101.33525140509369,48.64864363673964,True,False
13,52.020258279798284,102,115.15748781271361,49.979741720201716,False,False
12,44.97462674167678,94,118.83510647844696,49.02537325832322,False,False
14,54.568742149239725,116,134.10332900771454,61.431257850760275,False,False
15,57.71659114028328,119,135.48301967146057,61.28340885971672,False,False
17,58.78240929687276,136,147.45960946748602,77.21759070312724,False,False
16,58.63197128354076,135,158.81660743344503,76.36802871645924,False,False
18,71.79387532452236,148,160.80861690054158,76.20612467547764,False,False
19,72.4674953190578,159,165.9889014893214,86.5325046809422,True,False
20,75.55707934147615,161,177.4775834896971,85.44292065852385,False,False
21,92.82065685844836,166,188.58193449511086,73.17934314155164,False,False
22,96.24080794731344,178,198.5124465582868,81.75919205268656,True,True
24,105.21196635024707,199,210.21446912546838,93.78803364975293,False,False
23,99.91721669138553,189,212.74928220089498,89.08278330861447,False,False
25,117.22819715791428,211,223.26982842707847,93.77180284208572,True,False
26,131.39148221069212,213,230.25769161959676,81.60851778930788,False,False
27,149.03810730945068,224,246.61216071788718,74.96189269054932,False,False
28,154.74572466732272,231,247.11486459638618,76.25427533267728,False,False
29,155.55084047207976,247,260.56296256060625,91.44915952792024,False,False
30,165.77291819865073,248,266.76428287146723,82.22708180134927,False,False
32,183.07794851350712,267,278.5965377494391,83.92205148649288,True,False
31,172.3381082719426,261,281.45946545141516,88.66189172805741,False,False
33,188.36595053763426,279,294.4733345136308,90.63404946236574,False,False
34,190.92810601916537,282,300.0844205623181,91.07189398083463,False,False
35,193.18620192121617,295,310.7124952718054,101.81379807878383,False,False
36,196.4588016521269,301,311.9414860202141,104.54119834787309,False,False
38,219.08252827718195,312,322.77084028401515,92.91747172281805,True,False
37,207.3855244183427,311,339.76378421386903,103.6144755816573,False,True
39,236.38235659620977,323,345.2242346672642,86.61764340379023,False,False
40,241.25237289863784,340,354.25154666566954,98.74762710136216,False,False
42,268.84318027507686,355,379.41288869778754,86.15681972492314,False,False
41,242.94639961729135,346,381.4746592871501,103.05360038270865,False,True
43,272.1749246144044,380,395.34987952236895,107.8250753855956,False,False
44,275.17359151531224,382,401.6898220621205,106.82640848468776,False,True
45,281.4882341151059,396,408.6966561579887,114.51176588489409,True,False
47,299.9356107358477,409,417.6159844148667,109.06438926415228,True,False
46,295.65659788129636,402,419.1978893328959,106.34340211870364,False,False
48,301.42073904262253,418,436.33616522661146,116.57926095737747,False,False
49,304.02395937687857,420,444.76316672019004,115.97604062312143,False,False
50,314.6791013070878,437,447.6579244719056,122.32089869291218,True,False
52,332.5801439522051,448,455.02950978748584,115.4198560477949,True,False
51,329.62460143945776,445,456.7274782620227,115.37539856054224,False,False
53,343.1013200474563,456,466.2993904678805,112.89867995254372,False,False
55,357.2558800138892,467,477.61299197712054,109.74411998611077,False,False
54,353.6448593098884,457,481.8862448199102,103.35514069011163,False,False
56,365.98085434930164,478,483.9297428682276,112.01914565069836,True,False
57,371.1698557222631,482,497.81462802281794,110.8301442777369,False,False
58,403.1038539908531,484,507.2328083830678,80.89614600914689,False,False
59,405.8916326540945,498,512.9927197291157,92.10836734590549,False,False
61,424.65766185740773,513,527.981468857167,88.34233814259227,False,False
60,424.1367776451646,508,530.8316095537109,83.86322235483539,False,False
62,428.7435717095251,528,540.7665746609131,99.2564282904749,False,False
63,430.1700343084049,531,551.4445186356965,100.82996569159508,False,False
64,433.81092801246933,541,551.7948107135388,107.18907198753067,False,False
65,445.88002100530247,552,558.442360568064,106.11997899469753,True,False
66,447.6887884381032,553,563.9561016008724,105.31121156189681,False,False
67,451.6650185964835,559,571.5438427988784,107.33498140351651,True,False
